"名称","住所","linkNo","遺跡番号","地図","遺跡名","いせきめい","所在地","種別","時代","立地","遺跡概況","備考","市町村C","経度","緯度","分類"
"","","3469","45","43図","群谷遺跡","むれだにいせき","野中","松煙生産跡？","近世","丘陵","0","0","21 田辺市中辺路地区","135.672501258302","33.8199806246194","埋蔵文化財包蔵地_面"
"","","3468","44","43図","池ノ川遺跡","いけのごういせき","野中","松煙生産跡？","近世","丘陵","燃焼部片散在","0","21 田辺市中辺路地区","135.638806140586","33.8148711855631","埋蔵文化財包蔵地_面"
"","","3488","9-2","43図","和田Ⅱ遺跡","わだにいせき","和田","松煙生産跡","近世？","丘陵裾","焚口、燃焼部、煙道、媒室","0","21 田辺市大塔地区","135.625940471208","33.788965906991","埋蔵文化財包蔵地_面"
"","","3487","9-1","43図","和田Ⅰ遺跡","わだいちいせき","和田","松煙生産跡？","近世？","丘陵裾","燃焼部片散在","0","21 田辺市大塔地区","135.648304199427","33.7872529201512","埋蔵文化財包蔵地_面"
"","","3489","9-3","43図","和田Ⅲ遺跡","わださんいせき","和田","松煙生産跡？","近世？","丘陵裾","0","0","21 田辺市大塔地区","135.626496382563","33.7835947996693","埋蔵文化財包蔵地_面"
"","","3455","28","42図","見松寺の笠塔婆","けんしょうじのかさとうば","近露","碑","南北朝","丘陵裾","0","0","21 田辺市中辺路地区","135.609638131613","33.8141666953944","埋蔵文化財包蔵地_面"
"","","9999","","","","","","","","","","","","135.934542387696","33.6447612985507","埋蔵文化財包蔵地_面"
"","","3876","2","61図","旧太地熱帯植物園内遺跡","きゅうたいじねったいしょくぶつえんないいせき","太地1429","出土地","先土器","段丘","尖頭器","0","28 太地町","135.956674776967","33.5830074044599","埋蔵文化財包蔵地_面"
"","","3744","23","51図","広角の一里塚跡","ひろつののいちりづかあと","新宮","碑","近世","海浜","0","0","25 新宮市新宮地区","135.99066403039","33.7050735546689","埋蔵文化財包蔵地_面"
"","","3747","26","51図","佐野の一里塚跡","さののいちりづかあと","佐野","碑","近世","尾根端","0","0","25 新宮市新宮地区","135.972176139962","33.6761642094123","埋蔵文化財包蔵地_面"
"","","3736","12","51図","徳本上人の碑","とくほんしょうにんのひ","新宮王寺町","石碑","近世","海浜","0","0","25 新宮市新宮地区","136.008752050107","33.7226722013413","埋蔵文化財包蔵地_面"
"","","3752","31","51図","西高田経塚","にしたかたきょうづか","西高田","経塚","中世","山頂","一字一石経石","0","25 新宮市新宮地区","135.905494159424","33.7329824294959","埋蔵文化財包蔵地_面"
